Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Congo, Dem. Rep.",COD,..,357.10084628326,271.843117685355,292.056243981641,288.423104756199,306.332344697975,332.787425849473,341.971911732107,352.19981016104,401.999126816817,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Congo, Rep.",COG,388.465441725721,109.670980999564,351.825940360955,513.843005915292,831.883586178009,1052.75117923757,1105.65405913542,1082.24078011569,759.864968400134,578.944087149238,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Costa Rica,CRI,1599.09989195851,3347.39624604411,8184.82668802997,8945.05687157404,9411.4455143179,9403.88579659238,10084.8062019255,10402.6894250607,10564.4652744795,10783.8396374415,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cote d'Ivoire,CIV,709.562734499629,555.639228411977,1064.90391550286,1115.42046511477,1271.35347865877,1445.9126073513,1861.68293652763,1902.84171935227,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Croatia,HRV,..,3976.20665106817,11664.9168892191,10645.4760785088,11212.5963003587,11204.378420005,10009.8041162597,10173.6279559189,11284.9480857633,12588.0122395844,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cuba,CUB,2345.00357539619,2342.28701132445,5177.11349362768,5500.68041331941,5820.59115310586,6080.92099954679,6625.86215768793,6928.87038108555,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cyprus,CYP,8234.97744259654,11359.1517827192,29341.808451939,25153.2973160349,23796.7981670191,22744.4645985675,20028.3627795165,20331.4779028003,22234.6946920139,26327.562243961,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Czech Republic,CZE,..,4525.07805224269,15359.3405494241,14203.0380703374,14308.2329585824,14104.3546158805,12778.6986038509,13395.3834677676,14972.1126913926,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Denmark,DNK,21551.495475924,24678.1563033422,51290.3526525448,48737.9033937717,51904.388673211,53743.4323116808,45799.3515560641,46831.6059213301,48741.8559226955,52641.1345237896,..,..
